DealerId,vin,year,price,make,model,style,transmission,engine,mileage,color,stocknum,driveType,vehicleListPrice,PhotoURLs
,3KPC24A31JE019995,2018,13900,Hyundai,Accent,SE Sedan Auto,Automatic,4,39628,Frost White Pearl,019995,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/acf9406586654874a40da5bfbac0d788.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ba57618dd0f849d09642c1927b84923c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4b8fbbeb276f42e586af80caa6147be3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/65a0334de7e34248b5fee4921f501cc9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e08cd1dae6ff488382b4c24341119341.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5716474f783340bba81b14290167c75b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0163e3b2acdf4b0d925020f005137cc1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/73e8a3a3b9c2412696413474f68a19eb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e81be2fa47f543069214d7ca6a640582.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e08f1d842b084677829ad9235aa4f11d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/72d7d4ad8ecb4c95918d2bb0c7eb038c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/88e15a500b7b4638ad64d8ac665aeabe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c16c6864f1ac40589f1ce89d32ac5763.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c0e4d5e8442a493eb9c3773cbb0a3092.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e3c2a136607b46abb6206595bb2c0eed.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d6fef26aaacd490b90ffec50e09b4098.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/251bd955dcc04ff48a9ae50ff7a5b3bc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/aaa282f4d492455cac74e876bf334696.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0097c6f8bb30491386793c0958eb7bd9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1072539a74384effbaa99099148a43dd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/990421b5540446289e09dc1598998cc1.jpg']}"
,1FDWF36516EC61738,2006,16500,Ford,Super Duty F-350 DRW,Reg Cab 141 WB 60 CA XLT,Automatic,8,80007,Oxford White,C61738,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/311c3b88c67d4f3f804dd81791b76b9e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/73918c1b741c47e0bf092d7020b2c416.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/312862758ccf42198ce4c968acaeadb0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c32e83e42d604d60a88c7adbfa437656.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9644347d1c1545f480967d2d3730e609.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/535ccc9cebb2493f979aa3997322d96b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f9034d0930dd45ca8e501b222f8f1b2e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1205722d99b345d3a8dfe6a002ae4ccf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/593645e7f01b46d3bdd8cdf7cf1e6343.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5390e3c84ac0413b887ff185e71a8866.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f00fb9b539474968a1fac0621a23e864.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f7db3176a4af4ee3bdd59a546a07a124.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/385fbc06086e4d79acab63d5bd16cccd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9c298fc565aa40488b2a3873c16f05db.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ecb6942a419146969d8089208fb2ca2b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f5a65972145d419a96f966c0ff7caaf9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/36bade23805d4da786d9cbcfc9d4be42.jpg']}"
,JTDKN3DU9F0426061,2015,13500,Toyota,Prius,5dr HB Persona Series Special Edition,Variable,4,116355,Blizzard Pearl,426061,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/aba8dd64bc6b4a8ab9ba6afb830b2abb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a6f7a09ba70c49bd9cf2f84e66267944.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/67a0260da3844abba15bf96492818a9a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a87191b951204abc8132e7acdac463bc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9183a915447b4625bf6360676294e571.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d3a5cebbec55400eabefe720287879b5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/615346fd94b34eef89a9ded8992a73df.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/da1f1972d7324243a9f41804e91fe18a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/97aba5604a9e4ddebf6770eb4b406bbd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a8f4ae062c9f4e5cb855ec36c323c881.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6d0221a19e3b4a02936277068f5b13fa.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/453803599e9a4833a3f28af792848a15.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d6c50b72554c4b198c21bdf3e385c8cf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/38497aeb58e24ce3931225cffbd95280.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3a491b010f034a22b5631a373f76846b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ec7f3186296b4602a6b24070aca79a1f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5cbb76ce82bc46908a98f16de286cb9a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c049750459e742468d68af6443b9d9a2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6f7d0178e9cc4edc874075864b052cdc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c7656709ca6141d0b49ee69cdf1e512c.jpg']}"
,3FA6P0D98KR240551,2019,15700,Ford,Fusion,Titanium AWD,Automatic,4,74474,Agate Black,240551,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/4ddf52b73e12405c875b4979cf790bff.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b22b189b023e45bf9212b76dc94ccd82.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8723642a0ff341799a25da082ef11f86.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/68c5a7a057c64af988188f624452775b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/233db46e6ed64f92b36a54604844a324.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f4e06312b7f744f4b0a0b4c002d0af31.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/50f28434132d4848a60a71abda46d2a2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a291882aca174f3194b725d9c587f784.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/820301504fcd4361865dfa5345eb7ec5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/94408383a2404f828726d9c7923d2601.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1deacf78dbd943e09389a9168e2a9e9e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/db7c0d3581e94f268f295f5af8a4ff6c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/42ad0b9ba874457ebefcc4ddcb4d54f4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/aa227cfe553c4b3da46aae743937b5d1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/962440f95b144ebfa403dfe47408e753.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/210d63a58cc24570a565b2f605706d2d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1f2ac620ce4245f6a959e1e948562dc4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fa0edd0eef2f47108effc0dbf1a0f06e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/186871f1ab3c42d7a9684f2cfbdcfcbd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d17421fcc032413e8ad4044ec4816a48.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4a7ef2229c4840b98180186265f39c1a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/acc3443c660244a2a1a822091aee2c09.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4d189be1f79340b685f1262b6d36b50b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/368174d538074cf6b2736c8ae1d16035.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/050aaf7e398a49f8b55d7c08ec293136.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c0955aeffead4b11a16ab6dda4a63c0a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5af0beec587e4d61b5939dbfa10f0aa4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bafcc964ee994d02bc374d803db8265e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/285420fd1f4f415784345c600eb468a9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e2147a08d0374c19947c33765bea5dd1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2144435f470646efb44698f0326554ec.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fc87371b629f4a4ca95a090fb8f43805.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/605605fb91e44423b40ddcde3f8efd91.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3851d9d036b642f7b7ce1c997eeb766e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2756246e7e314376958212dd8cf6b196.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/60d9566726024d18b34e590cb4e72c75.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3eeff414f3604f949e35540416e95a31.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2e3515aea92840b0bd3f3c2bb03e71e7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d55ccb3e8dc743d7ba1b829fe7fdc02f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6c86cd89ea6d48b586b2258f958ce156.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4d65f95153a743d0909346d1c58c04b2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1bad1751a60c43548e5eae20d4e2f275.jpg']}"
,4T1C11AK9MU511703,2021,23500,Toyota,Camry,LE Auto,Automatic,4,18335,Super White,511703,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/2adeba67dad747f2ac26a3f2d04b5d5e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/54a2885692f742e48e825775c3a97d8c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/800843bae8c64d8da84f41a8f1429a4e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d780bdb5c230450db466ca37fbf47431.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ba7361a98d614edd97330550cda715bd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9295fd41f96545ecb478d5d5d2f49810.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b2954c07cbcf49059885c2e1521fda18.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c8df1729f7d142fea40003cc721c0aaf.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ee5c975f3be54ff9bd63fabaff73a90b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e713a02b71ee40d697195dc4e815c34f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/187ec237fca642a58acddc0db27b7bfe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f3f305429ba14304b323efb8175d5c14.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6d488cdaa5484c268879e1e35d56d9da.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/475e683b6e5441c09a76c6bc1b9fad80.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/467f2328a53b4baabf5d6b1772154f73.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6bdb0853ab844a5eb36bfda1e76ca363.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/6cd5af6d41b74b78a9f46ba781d82e40.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f526bc2bf0164a7699d7e0d51d98c8d6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0414afd3b70b40f38dd0008debf5bcac.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1aaac95fd5fc4ae0b144ae6d25de1d12.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/45d9bff43a9948e28f5d23a23328af75.jpg']}"
,5YFBU4EE0CP028819,2012,12500,Toyota,Corolla,4dr Sdn Auto L,Automatic,4,81317,Classic Silver Metallic,028819,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/5eedf121e20b433197e0e4662dee9cdd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cb46b22027ea4451bf869c6c78474142.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0517393166aa42ef85570b1b0632dfba.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c9363161d88c47d780295f8f76a51c61.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/188ebcb1d27c47e09904c876b9b4736d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/38acb2e983a64f328e3f2c4faef75e23.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/dc5fb79b39db435caaf2dd500275143f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b311cf610f2f426b9516c74c2f5aea03.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c947cfa4377147cf95f1a3c85fe66222.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9375d5fa81284d888a3475a68399ba28.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/2b6b741ecdf94e48909ab5edb31b6e5e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f60c970d31154634b25af4737ac738cb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/29a2a058982b403fad59900491a335b1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/594db67c3adb43b482ed4aa76ed4bc64.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4f7db0e3bb60450db4b55ef21a70e038.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e32206b06c3b495f831e78274e644c5c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/440ad97b3c7d4a8a8efbc116558f5c2f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7ccfa02aa3de4d9b8232cb9bdb6115ac.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/d9701961ee1e41d4abebfe32704eef83.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/99fafcc654db4f1b9dc184b7302c0b37.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/89c182bf908248fc929bb76cc1f9c4de.jpg']}"
,1FTBR1C82LKB17027,2020,35900,Ford,Transit Cargo Van,T-250 148 Med Rf 9070 GVWR RWD,Automatic,6,18513,Oxford White,B17027,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/2689334496b54678a38f89853f6b3290.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/fe167dc9211a4901bc42f8a3c90dd581.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b089ee97d08648fdaa91390dcdcb0941.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3c9f35deffec4e6db4d63f7ea9449be5.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/efeaa01f50de4b4da0786d2baeb5d74d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8c1dad3bb7184335a1193b47ad34207d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/790f0fbe50bf4907b2749a9284081c42.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bff1e0fa6881488a97d916ac14de16ad.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/caa1936f4cec4fcdb80adc6659543353.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c45bebad7c4d4fc8aba86eebc2aaf3e9.jpg']}"
,5NPEC4AC5DH588564,2013,10900,Hyundai,Sonata,4dr Sdn 2.4L Auto Limited,Automatic,4,66798,Harbor Gray Metallic,588564,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/345d348d55c3435185ff33b38568649e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f5554159c9534bdab45d71972403c2ab.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7cd00c9be7684af8a6a04d41e8045531.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/31e699836a3f4186a99dd832201cf834.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/614f98564690452391d716e7ac62bef0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/43b68c3ddc264266a14ea893d34ce639.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f3c8029e53a84f14ba5dc3eaa40925e8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/28e79bb61e714d7d847d08ccebb855b6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e0930c671e174353ac46faddb6406369.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c070f3a5f1db455c8469cda220ea1ee2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/28d6861057084681904f9e79f387c91d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7075884f3c0847dca13146e6fffbcf04.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b608bdba9c984ddc90d17d144ae7095a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/337e0e4bbffb4ac083c2ac37544acc49.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/264e444413d948948c6737614bddddb8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/37d9d57455d54b74b7df9aeb5152b14e.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/73558ef2e35046088fe09c7abe03ae43.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/19058ab9c5564f9f9c40416637a348e0.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/35bc758caf5b494ea75df1914859905b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1eb2bb49237146dbb1546f287a3bef53.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/64a852292ee14784aaa868b1c85ccc12.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/423adee030ec4d6fb9b58ac9b8a5ff1c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/876eddd3da294322a8beead1c798b52c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5ba7266f014f489ca6ac4774577fa1d7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/25660db642644eeaaf772ae01ddc6032.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/17b61d104d67441989dc2c74bb4951bf.jpg']}"
,19UUB1F54KA008590,2019,23700,Acura,TLX,2.4L FWD w/Technology Pkg,Automatic,4,34444,Platinum White Pearl,008590,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/6f63f840003e44ba9446a51ed70beb65.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a934503c1c554d3c863acbbf514031cc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3e812c7d1a43427cb99c680052467bb2.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b0fa90d007574a5b8fd6990d93120b90.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f3dc9e2a5a1f440a81b33f50402b0dc9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0c7d41078b8a43fb8c7ef8e8d5690dc6.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0c477586d6a84438a5e095cfd2e6f6bc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/cd13cfb8315945678f0321fc4f823e46.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4af074293917442e85ba6b2b13ff7eea.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/656f60fe84ee4330b68528a77e6faffc.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/de68c4599d574cc6a5be54f5b25aa93d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5dc6214ad03d460886af4157a9d6bcb3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5eaffc0b887c4a12a08e752e81994946.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/210724328485493ba94544933ac88c9b.jpg']}"
,NMTKHMBX1JR017387,2018,19900,Toyota,C-HR,XLE FWD,Variable,4,34480,Iceberg/Radiant Green Mica,017387,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/34a99587eb614267b3a389e3fafc210f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/65d01aea5dd441c8860271e906cc7c86.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/9d7fedf5cc944d978cbba230b64101fb.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/752d9e8ff51c44b6920658c6537671b4.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/1ebff98402ec4c7ca053013b9395f4ef.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/78d885d9ed7e48ee951b1fa34318fb2a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/993110ed7fb941a2b62ae2a4de7aa116.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bfb8679c29c544dcb5654e3bdd7537d1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3177978e2f954ceca345096e8998f71d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c4959e88e2c34944a51a0676b96df3dd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/baa19523ba7648918fa9759a48d0a195.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/21436d8a45814f6db7497bf378cf9af9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c2be29432fe7410082b1ef28622ec635.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f48e74372ecb40b4ba963aec6bf67844.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/aa6e9aa8fbcf4355a830f748493135dd.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3784965b987d4670b21d18eefef11111.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8771ec46bd154907a67a45e0b6d4391b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0b57f226acf344dfb1d4513bd12c0f3d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/de16c7e03c744b9fb8dd60213e1a3005.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/276c0bfbdbf64ba3bb4823b99e0869e3.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/a5e02948f33541b39b2b3e6390414cce.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/492c299238934c3aa404558236c3068c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b29ba9a0994e45c7ae2ccbebe6133d39.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/652f4d0f9a5a4350873f506f6a55a934.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/18d312a03f4849f98f1d9819a74d279b.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/928013de30ef44b3b84f32e2c9ce3928.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/7659d1b78efc4f75b60647e3498a20da.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/5784dcad5d67419b89c958105bb889e6.jpg']}"
,1C4PJMAK1CW206786,2012,10500,Jeep,Liberty,4WD 4dr Sport,Automatic,6,93033,Deep Cherry Red Crystal Pearl,206786,Used,0,"{'photourl': ['https://content.homenetiol.com/2003582/2264551/0x0/466357a039a948099ff64fbd83f63974.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/91051a06aa5246af8c59032baa109a8f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/8507865a27aa4d71bcfa8730893d59d9.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c3d8678496194ea6b66af446e66e5dc7.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f5240ac2518b4d4484494ebeb517638a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ac497f3134d0488d99e5088bf1bb2900.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c48e0503b0ae4da1a26682fa1b6b68ee.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/179f48f66c524793b24fbf9660d63cec.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/11fbfe2ec70341e0af7e8b151337a3d8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/4cc890f4eddb4148944f996d4aff20e1.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/99b94d0c594049c29dde4155086350d8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/e835c1d2912e4ba8924f0d65ad75677c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/17d67959956442fea933ba96affaa7f8.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0448d2bd651b4203b2d23b1af0722000.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f14c38836e284be29de557059fe23a4f.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/c2cc19a2bdf64fc5b048a94c80d8f63c.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/f893ff9dd74d4315b700b8ec700c5364.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/ff69a75452244ddca3b7f5697da78f68.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/bb3b30376aea43928786ab98b9e3604a.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/0dcaec5e88654bbc998b75652b4c3e4d.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/63f4c903a408417891c3ab27b9c36465.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/3a7d22ad45554fcfa1cf3e43c039eafe.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/953f3b763e344c5fb8207e5c6c7813db.jpg', 'https://content.homenetiol.com/2003582/2264551/0x0/b6d605648fbe47fbac8f331894191731.jpg']}"
